Declaration Number,Declaration Type,Declaration Date,State,County,Disaster Type,Disaster Title,Start Date,End Date,Close Date,Individual Assistance Program,Individuals & Households Program,Public Assistance Program,Hazard Mitigation Program
DR-1420,Disaster,06/19/2002,IA,Winneshiek County,Flood,Severe Storms and Flooding,06/03/2002,06/25/2002,06/22/2007,Yes,No,Yes,Yes
DR-1421,Disaster,06/19/2002,CO,Southern Ute Indian Reservation,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Ute Mountain Indian Reservation Also NM,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Adams County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Alamosa County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Arapahoe County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Archuleta County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Baca County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Bent County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Boulder County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Chaffee County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Cheyenne County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Clear Creek County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Conejos County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Costilla County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Crowley County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Custer County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Delta County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Denver County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Dolores County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Douglas County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Eagle County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Elbert County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,El Paso County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Fremont County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Garfield County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Gilpin County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Grand County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Gunnison County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Hinsdale County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Huerfano County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Jackson County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Jefferson County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Kiowa County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Kit Carson County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Lake County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,La Plata County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Larimer County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Las Animas County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Lincoln County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Mesa County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Mineral County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Moffat County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Montezuma County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Montrose County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Otero County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Ouray County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Park County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Pitkin County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Pueblo County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Rio Blanco County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Rio Grande County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Routt County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Saguache County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,San Juan County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,San Miguel County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Summit County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Teller County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Washington County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Weld County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
DR-1421,Disaster,06/19/2002,CO,Yuma County,Fire,Wildfires,04/23/2002,08/06/2002,04/07/2010,Yes,No,No,Yes
FS-2430,Fire,06/21/2002,AZ,Navajo County,Fire,Az - Chediski Farms Fire - 06/21/2002,06/20/2002,07/07/2002,12/16/2002,No,No,Yes,No
FS-2431,Fire,06/23/2002,CO,Gunnison County,Fire,Co-Wiley Ridge Fire-06/23/02,06/23/2002,06/28/2002,09/28/2006,No,No,Yes,No
FS-2432,Fire,06/25/2002,CO,La Plata County,Fire,Valley Fire,06/25/2002,08/09/2002,04/30/2008,No,No,Yes,No
DR-1422,Disaster,06/25/2002,AZ,White Mountain Apache Tribe,Fire,Wildfires,06/18/2002,07/07/2002,03/01/2011,Yes,No,Yes,Yes
DR-1422,Disaster,06/25/2002,AZ,Apache County,Fire,Wildfires,06/18/2002,07/07/2002,03/01/2011,Yes,No,Yes,Yes
DR-1422,Disaster,06/25/2002,AZ,Coconino County,Fire,Wildfires,06/18/2002,07/07/2002,03/01/2011,Yes,No,Yes,Yes
DR-1422,Disaster,06/25/2002,AZ,Gila County,Fire,Wildfires,06/18/2002,07/07/2002,03/01/2011,Yes,No,Yes,Yes
DR-1422,Disaster,06/25/2002,AZ,Navajo County,Fire,Wildfires,06/18/2002,07/07/2002,03/01/2011,Yes,No,Yes,Yes
DR-1423,Disaster,06/26/2002,AK,Crooked Creek ANV/ANVSA,Flood,Flooding,04/27/2002,05/30/2002,05/26/2010,Yes,No,Yes,Yes
DR-1423,Disaster,06/26/2002,AK,Lime Village ANV/ANVSA,Flood,Flooding,04/27/2002,05/30/2002,05/26/2010,Yes,No,Yes,Yes
DR-1423,Disaster,06/26/2002,AK,Red Devil ANV/ANVSA,Flood,Flooding,04/27/2002,05/30/2002,05/26/2010,Yes,No,Yes,Yes
DR-1423,Disaster,06/26/2002,AK,Sleetmute ANV/ANVSA,Flood,Flooding,04/27/2002,05/30/2002,05/26/2010,Yes,No,Yes,Yes
DR-1423,Disaster,06/26/2002,AK,Bethel Census Area,Flood,Flooding,04/27/2002,05/30/2002,05/26/2010,Yes,No,Yes,Yes
DR-1423,Disaster,06/26/2002,AK,Dillingham Census Area,Flood,Flooding,04/27/2002,05/30/2002,05/26/2010,Yes,No,Yes,Yes
DR-1423,Disaster,06/26/2002,AK,Fairbanks North Star Borough,Flood,Flooding,04/27/2002,05/30/2002,05/26/2010,Yes,No,Yes,Yes
DR-1423,Disaster,06/26/2002,AK,Matanuska-Susitna Borough,Flood,Flooding,04/27/2002,05/30/2002,05/26/2010,Yes,No,Yes,Yes
DR-1423,Disaster,06/26/2002,AK,Wade Hampton Census Area,Flood,Flooding,04/27/2002,05/30/2002,05/26/2010,Yes,No,Yes,Yes
DR-1423,Disaster,06/26/2002,AK,Yukon-Koyukuk Census Area,Flood,Flooding,04/27/2002,05/30/2002,05/26/2010,Yes,No,Yes,Yes
FS-2433,Fire,06/27/2002,CA,San Bernardino County,Fire,Louisiana Fire,06/26/2002,06/30/2002,04/05/2007,No,No,Yes,No
FS-2435,Fire,06/29/2002,ND,Sioux County,Fire,Nd - Again Fire - 06/29/2002,06/29/2002,07/03/2002,06/18/2003,No,No,Yes,No
FS-2434,Fire,06/29/2002,SD,Lawrence County,Fire,Grizzly Gulch Fire,06/29/2002,07/17/2002,06/11/2007,No,No,Yes,No
FS-2436,Fire,07/01/2002,WY,Albany County,Fire,Wy - Reese Mountain Fire - 07/01/02,06/29/2002,07/12/2002,09/30/2005,No,No,Yes,No
FS-2437,Fire,07/01/2002,UT,Daggett County,Fire,Ut - Mustang Fire - 07/01/2002,06/30/2002,07/05/2002,08/22/2005,No,No,Yes,No
FS-2438,Fire,07/03/2002,NV,Douglas County,Fire,Nv - Gondola Fire - 07/03/2002,07/03/2002,07/09/2002,04/01/2005,No,No,Yes,No
DR-1424,Disaster,07/03/2002,MT,Blackfeet Indian Reservation,Storm,Severe Storms and Flooding,06/08/2002,06/21/2002,01/26/2012,No,No,Yes,Yes
DR-1424,Disaster,07/03/2002,MT,Glacier County,Storm,Severe Storms and Flooding,06/08/2002,06/21/2002,01/26/2012,No,No,Yes,Yes
DR-1424,Disaster,07/03/2002,MT,Hill County,Storm,Severe Storms and Flooding,06/08/2002,06/21/2002,01/26/2012,No,No,Yes,Yes
DR-1424,Disaster,07/03/2002,MT,Liberty County,Storm,Severe Storms and Flooding,06/08/2002,06/21/2002,01/26/2012,No,No,Yes,Yes
DR-1424,Disaster,07/03/2002,MT,Pondera County,Storm,Severe Storms and Flooding,06/08/2002,06/21/2002,01/26/2012,No,No,Yes,Yes
DR-1424,Disaster,07/03/2002,MT,Toole County,Storm,Severe Storms and Flooding,06/08/2002,06/21/2002,01/26/2012,No,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Atascosa County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Bandera County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Bee County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Bexar County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Blanco County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Brown County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Burnet County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Caldwell County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Calhoun County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Callahan County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Coleman County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Comal County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,DeWitt County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Dimmit County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Duval County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Eastland County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Frio County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Gillespie County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Goliad County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Gonzales County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Guadalupe County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Hays County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Jim Wells County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Jones County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Karnes County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Kendall County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Kerr County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,La Salle County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Live Oak County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,McMullen County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Medina County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Nueces County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Real County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,San Patricio County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,San Saba County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Taylor County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Travis County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Uvalde County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Victoria County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Wilson County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1425,Disaster,07/04/2002,TX,Zavala County,Flood,Severe Storms and Flooding,06/29/2002,07/31/2002,06/08/2015,Yes,No,Yes,Yes
DR-1426,Disaster,07/06/2002,GU,Guam County-equivalent,Typhoon,Typhoon Chata'An,07/05/2002,07/06/2002,03/14/2012,Yes,No,Yes,Yes
DR-1427,Disaster,07/11/2002,FM,Chuuk County-equivalent,Typhoon,"Ts Chata'An, Inc Flooding, Mudslides and Landslides",07/02/2002,07/04/2002,08/20/2015,Yes,No,Yes,Yes
DR-1427,Disaster,07/11/2002,FM,Pohnpei County-equivalent,Typhoon,"Ts Chata'An, Inc Flooding, Mudslides and Landslides",07/02/2002,07/04/2002,08/20/2015,Yes,No,Yes,Yes
DR-1428,Disaster,07/12/2002,VT,Caledonia County,Storm,Severe Storms and Flooding,06/05/2002,06/13/2002,06/01/2010,Yes,No,Yes,Yes
DR-1428,Disaster,07/12/2002,VT,Essex County,Storm,Severe Storms and Flooding,06/05/2002,06/13/2002,06/01/2010,Yes,No,Yes,Yes
DR-1428,Disaster,07/12/2002,VT,Franklin County,Storm,Severe Storms and Flooding,06/05/2002,06/13/2002,06/01/2010,Yes,No,Yes,Yes
DR-1428,Disaster,07/12/2002,VT,Lamoille County,Storm,Severe Storms and Flooding,06/05/2002,06/13/2002,06/01/2010,Yes,No,Yes,Yes
DR-1428,Disaster,07/12/2002,VT,Orleans County,Storm,Severe Storms and Flooding,06/05/2002,06/13/2002,06/01/2010,Yes,No,Yes,Yes
FS-2439,Fire,07/14/2002,AZ,Pinal County,Fire,Az - Oracle Hills Fire - 07/14/2002,07/12/2002,07/17/2002,08/24/2004,No,No,Yes,No
FS-2442,Fire,07/15/2002,CO,Montrose County,Fire,Co - Burn Canyon Fire - 07/15/02,07/14/2002,08/02/2002,09/28/2006,No,No,Yes,No
FS-2442,Fire,07/15/2002,CO,San Miguel County,Fire,Co - Burn Canyon Fire - 07/15/02,07/14/2002,08/02/2002,09/28/2006,No,No,Yes,No
FS-2441,Fire,07/15/2002,NV,Douglas County,Fire,Nv - Gate Fire Complex - 07/15/02,07/14/2002,07/26/2002,08/20/2004,No,No,Yes,No
FS-2444,Fire,07/16/2002,OR,Lake County,Fire,Or - Winter Fire - 07/15/2002,07/15/2002,07/25/2002,05/06/2004,No,No,Yes,No
FS-2443,Fire,07/16/2002,OR,Jefferson County,Fire,Or - Eyerly Fire - 07/13/2002,07/13/2002,07/18/2002,05/06/2004,No,No,Yes,No
FS-2446,Fire,07/17/2002,NV,Clark County,Fire,Nv - Lost Cabin Fire - 07/17/02,07/14/2002,07/27/2002,08/20/2004,No,No,Yes,No
FS-2445,Fire,07/17/2002,OR,Jackson County,Fire,Or - Squire Peak/Wall Creek Fire - 07/17/02,07/16/2002,07/21/2002,08/03/2004,No,No,Yes,No
FS-2447,Fire,07/18/2002,CO,Larimer County,Fire,Big Elk Fire,07/17/2002,08/05/2002,09/05/2008,No,No,Yes,No
DR-1429,Disaster,07/19/2002,WI,Adams County,Storm,Severe Storms and Flooding,06/21/2002,06/25/2002,01/03/2011,No,No,Yes,Yes
DR-1429,Disaster,07/19/2002,WI,Clark County,Storm,Severe Storms and Flooding,06/21/2002,06/25/2002,01/03/2011,No,No,Yes,Yes
DR-1429,Disaster,07/19/2002,WI,Dunn County,Storm,Severe Storms and Flooding,06/21/2002,06/25/2002,01/03/2011,No,No,Yes,Yes
DR-1429,Disaster,07/19/2002,WI,Marathon County,Storm,Severe Storms and Flooding,06/21/2002,06/25/2002,01/03/2011,No,No,Yes,Yes
DR-1429,Disaster,07/19/2002,WI,Marinette County,Storm,Severe Storms and Flooding,06/21/2002,06/25/2002,01/03/2011,No,No,Yes,Yes
DR-1429,Disaster,07/19/2002,WI,Portage County,Storm,Severe Storms and Flooding,06/21/2002,06/25/2002,01/03/2011,No,No,Yes,Yes
DR-1429,Disaster,07/19/2002,WI,Waushara County,Storm,Severe Storms and Flooding,06/21/2002,06/25/2002,01/03/2011,No,No,Yes,Yes
DR-1429,Disaster,07/19/2002,WI,Wood County,Storm,Severe Storms and Flooding,06/21/2002,06/25/2002,01/03/2011,No,No,Yes,Yes
FS-2448,Fire,07/19/2002,OR,Grant County,Fire,Or - Flagtail Fire - 07/19/02,07/18/2002,07/21/2002,01/22/2004,No,No,Yes,No
FS-2449,Fire,07/20/2002,WA,Chelan County,Fire,Wa - Deer Point Fire - 07/20/02,07/20/2002,07/27/2002,01/21/2005,No,No,Yes,No
FS-2450,Fire,07/22/2002,CA,Kern County,Fire,Deer Fire,07/21/2002,07/27/2002,04/05/2007,No,No,Yes,No
FS-2451,Fire,07/25/2002,WA,Okanogan County,Fire,Wa - Pickens Fire - 07/24/02,07/24/2002,07/26/2002,01/21/2005,No,No,Yes,No
FS-2452,Fire,07/26/2002,OR,Wasco County,Fire,Or - Sheldon Ridge Fire - 07/25/02,07/25/2002,08/01/2002,08/03/2004,No,No,Yes,No
FS-2453,Fire,07/28/2002,OR,Curry County,Fire,Or - Biscuit Fire - 07/28/02,07/27/2002,,01/21/2005,No,No,Yes,No
FS-2453,Fire,07/28/2002,OR,Josephine County,Fire,Or - Biscuit Fire - 07/28/02,07/27/2002,,01/21/2005,No,No,Yes,No
FS-2454,Fire,07/28/2002,OR,Jackson County,Fire,Timbered Rock Fire,07/27/2002,08/05/2002,06/17/2004,No,No,Yes,No
FS-2455,Fire,07/29/2002,OR,Deschutes County,Fire,Or - Cache Mountain Fire - 07/28/02,07/28/2002,08/01/2002,06/17/2004,No,No,Yes,No
FS-2455,Fire,07/29/2002,OR,Jefferson County,Fire,Or - Cache Mountain Fire - 07/28/02,07/28/2002,08/01/2002,06/17/2004,No,No,Yes,No
FS-2456,Fire,07/30/2002,CA,San Diego County,Fire,Ca - Pines Fire - 07/30/02,07/29/2002,08/22/2002,07/28/2010,No,No,Yes,No
FS-2457,Fire,07/31/2002,CO,Eagle County,Fire,Co - Panorama Fire - 07/31/02,07/31/2002,08/04/2002,07/07/2010,No,No,Yes,No
FS-2457,Fire,07/31/2002,CO,Garfield County,Fire,Co - Panorama Fire - 07/31/02,07/31/2002,08/04/2002,07/07/2010,No,No,Yes,No
DR-1430,Disaster,08/06/2002,MP,Rota Municipality,Typhoon,Typhoon Chata'An,07/04/2002,07/05/2002,06/08/2010,No,No,Yes,Yes
FS-2458,Fire,08/18/2002,SD,Custer County,Fire,Sd - Battle Creek Fire - 08/18/02,08/16/2002,08/29/2002,12/21/2005,No,No,Yes,No
FS-2458,Fire,08/18/2002,SD,Pennington County,Fire,Sd - Battle Creek Fire - 08/18/02,08/16/2002,08/29/2002,12/21/2005,No,No,Yes,No
FS-2459,Fire,08/26/2002,NM,Sandoval County,Fire,Nm - Lakes Fire Complex - 08/26/02,08/26/2002,09/11/2002,01/11/2005,No,No,Yes,No
FS-2460,Fire,08/31/2002,WY,Lincoln County,Fire,Wy - Commissary Ridge Fire - 08/31/02,08/29/2002,09/15/2002,09/30/2005,No,No,Yes,No
FS-2462,Fire,09/04/2002,CA,Los Angeles County,Fire,Leona Fire,09/03/2002,09/12/2002,04/03/2007,No,No,Yes,No
FS-2461,Fire,09/04/2002,CA,Shasta County,Fire,Squirrel Fire,09/03/2002,09/10/2002,04/03/2007,No,No,Yes,No
DR-1432,Disaster,09/10/2002,WI,Barron County,Tornado,"Severe Storms, Tornadoes, and Flooding",09/02/2002,09/06/2002,01/03/2011,Yes,No,Yes,Yes
DR-1432,Disaster,09/10/2002,WI,Burnett County,Tornado,"Severe Storms, Tornadoes, and Flooding",09/02/2002,09/06/2002,01/03/2011,Yes,No,Yes,Yes
DR-1432,Disaster,09/10/2002,WI,Chippewa County,Tornado,"Severe Storms, Tornadoes, and Flooding",09/02/2002,09/06/2002,01/03/2011,Yes,No,Yes,Yes
DR-1432,Disaster,09/10/2002,WI,Clark County,Tornado,"Severe Storms, Tornadoes, and Flooding",09/02/2002,09/06/2002,01/03/2011,Yes,No,Yes,Yes
DR-1432,Disaster,09/10/2002,WI,Dunn County,Tornado,"Severe Storms, Tornadoes, and Flooding",09/02/2002,09/06/2002,01/03/2011,Yes,No,Yes,Yes
